Date,amundi
2014-12-24,1565.34
2014-12-29,1620.04
2014-12-03,1403.44
2014-12-30,1640.04
2014-12-31,1660.43
2014-12-04,1422.57
2014-12-05,1502.04
2014-12-08,1520.7
2014-12-09,1589.76
2014-02-10,1085.53
2014-02-11,1112.22
2014-02-12,1108.36
2014-02-13,1109.75
2014-02-14,1084.81
2014-02-17,1094.44
2014-02-18,1113.95
2014-02-19,1104.5
2014-02-20,1103.55
2014-02-21,1077.37
2014-02-24,1069.71
2014-02-25,1066.07
2014-02-26,1028.56
2014-02-27,1030.46
2014-02-28,1027.53
2014-02-03,1067.74
2014-02-04,1067.69
2014-02-05,1067.63
2014-02-06,1067.59
2014-02-07,1067.55
2014-03-10,1027.63
2014-03-11,983.65
2014-03-12,980.04
2014-03-13,964.22
2014-03-14,981.23
2014-03-17,972.77
2014-03-18,980.7
2014-03-19,981.42
2014-03-20,975.82
2014-03-21,946.79
2014-03-24,975.61
2014-03-25,995.58
2014-03-26,993.29
2014-03-27,988.51
2014-03-28,976.99
2014-03-03,1034.25
2014-03-31,959.26
2014-03-04,1046.75
2014-03-05,1039.73
2014-03-06,1027.52
2014-03-07,1030.76
2014-04-01,956.54
2014-04-10,1006.5
2014-04-11,1013.41
2014-04-14,1002.67
2014-04-15,1007.36
2014-04-16,985.14
2014-04-17,990.53
2014-04-02,971.09
2014-04-22,965.45
2014-04-23,966.22
2014-04-24,960.14
2014-04-25,958.49
2014-04-28,944.04
2014-04-29,920.29
2014-04-03,986.46
2014-04-30,934.61
2014-04-04,979.26
2014-04-07,987.54
2014-04-08,987.74
2014-04-09,1005.47
2014-05-12,932.28
2014-05-13,948.26
2014-05-14,950.78
2014-05-15,954.5
2014-05-16,930.55
2014-05-19,929.44
2014-05-02,940.26
2014-05-20,916.57
2014-05-21,915.56
2014-05-22,925.55
2014-05-23,928.22
2014-05-26,943.11
2014-05-27,947.48
2014-05-28,939.67
2014-05-30,935.92
2014-05-05,940.14
2014-05-06,945.68
2014-05-07,949.59
2014-05-08,936.11
2014-05-09,935.46
2014-06-10,924.29
2014-06-11,939.42
2014-06-12,942.42
2014-06-13,937.31
2014-06-16,945.63
2014-06-17,947.53
2014-06-18,933.8
2014-06-19,925.57
2014-06-02,931.58
2014-06-20,902.75
2014-06-24,916.18
2014-06-25,920.27
2014-06-26,914.41
2014-06-27,926.85
2014-06-03,931.53
2014-06-30,929.36
2014-06-04,922.78
2014-06-05,912.99
2014-06-06,925.79
2014-07-01,937.97
2014-07-10,934.46
2014-07-11,930.55
2014-07-14,937.4
2014-07-15,946.12
2014-07-16,939.9
2014-07-17,933.11
2014-07-18,932.61
2014-07-02,939.5
2014-07-21,939.56
2014-07-22,945.46
2014-07-23,960.94
2014-07-24,956.37
2014-07-25,970.38
2014-07-28,976.51
2014-07-29,1001.32
2014-07-03,944.15
2014-07-30,1003.99
2014-07-31,1002.04
2014-07-04,952.82
2014-07-07,950.16
2014-07-08,948.92
2014-07-09,951.64
2014-08-01,1017.77
2014-08-11,1014.61
2014-08-12,1030.38
2014-08-13,1027.3
2014-08-14,1027.57
2014-08-18,1028.31
2014-08-19,1035.29
2014-08-20,1033.73
2014-08-21,1030.41
2014-08-22,1023.37
2014-08-25,1028.64
2014-08-26,1018.12
2014-08-27,1005.73
2014-08-28,1010.12
2014-08-29,1005.83
2014-08-04,1006.56
2014-08-05,1030.48
2014-08-06,1027.92
2014-08-07,1028.35
2014-08-08,1015.34
2014-09-01,1012.67
2014-09-10,1065.64
2014-09-11,1057.73
2014-09-12,1049.19
2014-09-15,1054.89
2014-09-16,1057.32
2014-09-17,1026.77
2014-09-18,1030.9
